LOCATIONID;X_Maaiveld binnenwaarts;Y_Maaiveld binnenwaarts;Z_Maaiveld binnenwaarts;X_Insteek sloot polderzijde;Y_Insteek sloot polderzijde;Z_Insteek sloot polderzijde;X_Slootbodem polderzijde;Y_Slootbodem polderzijde;Z_Slootbodem polderzijde;X_Slootbodem dijkzijde;Y_Slootbodem dijkzijde;Z_Slootbodem dijkzijde;X_Insteek sloot dijkzijde;Y_Insteek sloot dijkzijde;Z_Insteek sloot dijkzijde;X_Teen dijk binnenwaarts;Y_Teen dijk binnenwaarts;Z_Teen dijk binnenwaarts;X_Kruin binnenberm;Y_Kruin binnenberm;Z_Kruin binnenberm;X_Insteek binnenberm;Y_Insteek binnenberm;Z_Insteek binnenberm;X_Kruin binnentalud;Y_Kruin binnentalud;Z_Kruin binnentalud;X_Verkeersbelasting kant binnenwaarts;Y_Verkeersbelasting kant binnenwaarts;Z_Verkeersbelasting kant binnenwaarts;X_Verkeersbelasting kant buitenwaarts;Y_Verkeersbelasting kant buitenwaarts;Z_Verkeersbelasting kant buitenwaarts;X_Kruin buitentalud;Y_Kruin buitentalud;Z_Kruin buitentalud;X_Insteek buitenberm;Y_Insteek buitenberm;Z_Insteek buitenberm;X_Kruin buitenberm;Y_Kruin buitenberm;Z_Kruin buitenberm;X_Teen dijk buitenwaarts;Y_Teen dijk buitenwaarts;Z_Teen dijk buitenwaarts;X_Insteek geul;Y_Insteek geul;Z_Insteek geul;X_Teen geul;Y_Teen geul;Z_Teen geul;X_Maaiveld buitenwaarts;Y_Maaiveld buitenwaarts;Z_Maaiveld buitenwaarts
12-2_208;133090.205;546683.064;-3.049;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;133134.16;546705.829;-1.705;133146.148;546712.037;2.148;133148.812;546713.417;2.485;133152.808;546715.486;4.098;133152.808;546715.486;4.098;133155.028;546716.636;4.187;133156.803;546717.556;4.208;133167.015;546722.845;0.512;133171.455;546725.144;-0.54;133174.119;546726.524;-2.04;-1;-1;-1;-1;-1;-1;133244.713;546763.085;-3.83
12-2_209;133101.679;546659.805;-3.063;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;133146.226;546683.591;-1.588;133157.694;546689.715;2.087;133161.663;546691.834;2.664;133165.633;546693.954;4.19;133165.633;546693.954;4.19;133167.839;546695.131;4.315;133168.279;546695.367;4.215;133178.865;546701.019;0.374;133181.383;546702.363;-0.03;133184.598;546704.08;-1.9;-1;-1;-1;-1;-1;-1;133255.169;546741.761;-3.89
12-2_210;133112.059;546639.755;-3.04;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;133156.907;546661.861;-1.724;133168.567;546667.609;2.058;133172.603;546669.599;2.501;133177.088;546671.809;4.124;133177.088;546671.809;4.124;133179.33;546672.915;4.259;133179.33;546672.915;4.259;133190.094;546678.22;0.406;133192.785;546679.547;-0.04;133196.372;546681.315;-1.96;-1;-1;-1;-1;-1;-1;133268.128;546716.686;-3.93
12-2_211;133123.111;546617.33;-3.004;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;133168.407;546639.658;-1.525;133180.068;546645.406;1.995;133183.655;546647.174;2.486;133188.589;546649.606;4.196;133188.589;546649.606;4.196;133190.832;546650.711;4.14;133190.831;546650.711;4.14;133201.146;546655.796;0.315;133204.427;546657.413;-0.11;133208.321;546659.333;-2.11;-1;-1;-1;-1;-1;-1;133279.181;546694.261;-4.32
12-2_212;133134.163;546594.906;-3.035;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;133179.459;546617.234;-1.55;133190.671;546622.76;1.915;133196.053;546625.413;2.759;133199.641;546627.182;4.091;133199.641;546627.182;4.091;133201.883;546628.287;4.17;133201.883;546628.287;4.17;133213.095;546633.813;0.253;133215.786;546635.14;-0.064;133220.27;546637.351;-1.98;-1;-1;-1;-1;-1;-1;133290.232;546671.837;-4.31
12-2_213;133145.215;546572.482;-2.999;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;133190.063;546594.588;-1.504;133202.172;546600.557;2.052;133207.105;546602.989;2.597;133210.693;546604.757;4.039;133210.693;546604.757;4.039;133212.935;546605.862;4.054;133212.935;546605.862;4.054;133224.147;546611.389;0.298;133226.838;546612.715;0.074;133232.219;546615.368;-2.26;-1;-1;-1;-1;-1;-1;133301.284;546649.412;-3.93
12-2_214;133156.267;546550.057;-2.987;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;133201.563;546572.385;-1.342;133214.12;546578.575;2.327;133217.26;546580.122;2.542;133221.745;546582.333;4.05;133221.745;546582.333;4.05;133223.987;546583.438;4.27;133224.435;546583.659;4.196;133235.647;546589.186;0.186;133238.483;546590.584;-0.08;133241.926;546592.281;-2.11;-1;-1;-1;-1;-1;-1;133312.336;546626.988;-4.35
12-2_215;133168.239;546526.669;-2.943;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;133213.147;546549.768;-1.395;133224.707;546555.715;1.988;133228.709;546557.773;2.51;133233.155;546560.06;4.041;133233.155;546560.06;4.041;133235.378;546561.204;4.149;133234.933;546560.975;4.214;133246.493;546566.921;0.451;133249.585;546568.512;-0.09;133253.607;546570.58;-1.97;-1;-1;-1;-1;-1;-1;133322.969;546606.258;-4.4
12-2_216;133178.85;546506.418;-2.871;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;133225.302;546528.654;-1.053;133236.126;546533.835;2.143;133239.734;546535.562;2.494;133243.793;546537.505;4.008;133243.793;546537.505;4.008;133246.049;546538.585;4.15;133246.95;546539.016;4.173;133257.773;546544.198;0.475;133262.283;546546.357;-0.57;133265.44;546547.868;-2.24;-1;-1;-1;-1;-1;-1;133335.795;546581.546;-4.33
12-2_217;133189.641;546483.867;-2.879;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;133235.643;546505.887;-1.462;133246.015;546510.853;1.799;133251.427;546513.443;2.43;133255.486;546515.386;3.964;133255.486;546515.386;3.964;133257.741;546516.466;4.226;133258.195;546516.683;4.1;133269.019;546521.864;0.323;133272.268;546523.419;-0.02;133276.235;546525.318;-2.32;-1;-1;-1;-1;-1;-1;133346.59;546558.996;-3.73
12-2_218;133201.504;546460.309;-2.824;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;133245.749;546482.504;-1.456;133257.816;546488.557;2.432;133261.839;546490.575;2.521;133267.202;546493.265;4.197;133267.202;546493.265;4.197;133269.436;546494.386;4.199;133269.436;546494.386;4.199;133279.715;546499.543;0.415;133283.359;546501.37;-0.08;133288.654;546504.027;-2.57;-1;-1;-1;-1;-1;-1;133357.033;546538.328;-3.71
12-2_219;133212.715;546437.964;-2.777;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;133257.854;546460.607;-1.45;133267.686;546465.539;2.169;133269.921;546466.66;2.257;133276.625;546470.023;3.851;133276.625;546470.023;3.851;133278.859;546471.144;4.122;133280.647;546472.041;3.956;133289.585;546476.525;0.837;133295.395;546479.439;-0.42;133298.524;546481.008;-2.39;-1;-1;-1;-1;-1;-1;133368.243;546515.982;-3.68
12-2_220;133223.926;546415.618;-2.791;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;133269.065;546438.262;-1.298;133281.131;546444.315;2.14;133284.26;546445.884;2.441;133289.176;546448.35;4.058;133289.176;546448.35;4.058;133291.41;546449.471;4.22;133290.964;546449.247;4.193;133303.03;546455.3;0.063;133305.827;546456.703;-0.06;133309.734;546458.663;-2.35;-1;-1;-1;-1;-1;-1;133379.454;546493.637;-3.64
12-2_221;133235.136;546393.273;-2.809;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;133280.275;546415.916;-1.463;133291.448;546421.521;1.907;133295.47;546423.539;2.45;133300.387;546426.005;4.056;133300.387;546426.005;4.056;133302.622;546427.126;4.072;133302.621;546427.126;4.072;133314.688;546433.179;0.101;133317.061;546434.369;-0.04;133321.392;546436.542;-2.16;-1;-1;-1;-1;-1;-1;133390.665;546471.291;-3.58
